"filename", "language", "JSON with Comments", "JSON", "JavaScript", "Markdown", "vue", "HTML", "comment", "blank", "total"
"e:\编程\Front-End\大文件上传\my-file-upload\README.md", "Markdown", 0, 0, 0, 18, 0, 0, 0, 12, 30
"e:\编程\Front-End\大文件上传\my-file-upload\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 1, 14
"e:\编程\Front-End\大文件上传\my-file-upload\jsconfig.json", "JSON with Comments", 8, 0, 0, 0, 0, 0, 0, 1, 9
"e:\编程\Front-End\大文件上传\my-file-upload\package-lock.json", "JSON", 0, 2646, 0, 0, 0, 0, 0, 1, 2647
"e:\编程\Front-End\大文件上传\my-file-upload\package.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 1, 24
"e:\编程\Front-End\大文件上传\my-file-upload\server\controller.js", "JavaScript", 0, 0, 124, 0, 0, 0, 61, 13, 198
"e:\编程\Front-End\大文件上传\my-file-upload\server\index.js", "JavaScript", 0, 0, 18, 0, 0, 0, 2, 1, 21
"e:\编程\Front-End\大文件上传\my-file-upload\src\App.vue", "vue", 0, 0, 0, 0, 79, 0, 0, 8, 87
"e:\编程\Front-End\大文件上传\my-file-upload\src\hash.js", "JavaScript", 0, 0, 26, 0, 0, 0, 6, 3, 35
"e:\编程\Front-End\大文件上传\my-file-upload\src\main.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 2, 5
"e:\编程\Front-End\大文件上传\my-file-upload\vite.config.js", "JavaScript", 0, 0, 15, 0, 0, 0, 1, 3, 19
"Total", "-", 8, 2669, 186, 18, 79, 13, 70, 46, 3089